ENSEMBL	SYMBOL	GENENAME	GO	EVIDENCE	ONTOLOGY	PATH
FBgn0003360	sesB	stress-sensitive B	GO:0001508	IDA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0005471	IEA	MF	NA
FBgn0003360	sesB	stress-sensitive B	GO:0005471	IMP	MF	NA
FBgn0003360	sesB	stress-sensitive B	GO:0005739	HDA	CC	NA
FBgn0003360	sesB	stress-sensitive B	GO:0005739	IDA	CC	NA
FBgn0003360	sesB	stress-sensitive B	GO:0005743	IDA	CC	NA
FBgn0003360	sesB	stress-sensitive B	GO:0005743	IEA	CC	NA
FBgn0003360	sesB	stress-sensitive B	GO:0006839	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0007268	IDA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0008340	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0010507	IDA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0034599	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0040011	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0046716	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0048477	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0048489	IDA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0051124	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0051480	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0051560	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0051900	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0055085	IEA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0070050	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0140021	IEA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:1901029	IBA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:1990544	IEA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:2001171	IMP	BP	NA
FBgn0029167	Hml	Hemolectin	GO:0005576	IDA	CC	04512
